lagoslakeid,LakeID
7597,L2532
2130,L2533
6403,L2534
6610,L2535
6597,L2536
3054,L2538
8306,L2539
622,L2540
6590,L2541
7284,L2542
3369,L2543
7547,L2544
3152,L2545
3940,L2546
11536,L2547
6767,L2548
24,L2549
6533,L2550
492,L2551
1808,L2552
3133,L2553
7414,L2554
6428,L2555
3128,L2556
8273,L2557
6596,L2558
2866,L2560
6441,L2561
8083,L2563
72565,L2566
2153,L2569
1025,L2570
6644,L2571
116099,L2572
3582,L2573
6761,L2574
6616,L2575
4771,L2576
2975,L2582
7088,L2584
2323,L2585
138,L2586
7806,L2587
6684,L2588
6628,L2589
852,L2592
6417,L2593
7138,L2594
7807,L2596
6393,L2597
1998,L2599
18,L2601
851,L2602
7332,L2605
52000,L2609
7053,L2610
115040,L2611
6808,L2612
7434,L2613
2120,L2614
8386,L2615
1509,L2618
6513,L2621
6624,L2622
6679,L2625
34,L2627
5290,L2628
6798,L2629
7412,L2630
6729,L2632
7141,L2633
10,L2635
3147,L2636
20,L2638
6614,L2639
3201,L2641
58170,L2642
3585,L2644
5241,L2646
4017,L2648
3127,L2649
4322,L2650
658,L2651
3655,L2652
3763,L2653
2205,L2654
2294,L2655
1815,L2656
3740,L2657
1056,L2658
36541,L2659
13469,L2660
6542,L2662
1410,L2663
826,L2664
4481,L2665
3868,L2666
93745,L2668
2335,L2671
74894,L2672
3376,L2673
43937,L2674
3058,L2675
3538,L2676
470,L2677
3519,L2678
2116,L2680
28169,L2681
138077,L2682
1310,L2683
2289,L2684
46,L2685
2515,L2686
9453,L2687
140108,L2689
1811,L2691
5118,L2693
4033,L2694
2103,L2695
7149,L2698
3977,L2699
2098,L2700
481,L2701
4828,L2703
4985,L2705
1416,L2708
998,L2712
6,L2714
1126,L2718
2162,L2719
2757,L2719
1213,L2720
1038,L2722
2489,L2724
707,L2725
1985,L2726
3023,L2727
2487,L2728
11,L2729
2217,L2730
3772,L2731
76048,L2732
22724,L2734
1849,L2736
89386,L2737
50,L2739
64356,L2740
136221,L2740
747,L2741
3287,L2742
34377,L2743
98583,L2744
92431,L2746
696,L2747
2,L2748
1366,L2752
2189,L2754
3872,L2757
3458,L2758
1630,L2759
42,L2761
80188,L2762
1657,L2766
2090,L2767
2038,L2770
121378,L2772
7024,L2773
4213,L2775
509,L2778
6419,L2779
2650,L2780
4129,L2785
2571,L2786
18632,L2787
821,L2789
4701,L2791
4448,L2795
48,L2796
4884,L2797
1464,L2799
6538,L2800
613,L2803
6843,L2804
6536,L2807
4566,L2809
4935,L2811
12,L2813
2974,L2814
45,L2816
659,L2819
28,L2822
2862,L2825
1241,L2826
36,L2829
2677,L2830
1039,L2831
3755,L2832
6424,L2834
1388,L2836
81278,L2837
6532,L2838
3087,L2839
690,L2841
3398,L2842
35483,L2843
2748,L2844
2288,L2846
3891,L2849
3153,L2852
3832,L2854
4389,L2855
6503,L2856
4510,L2858
671,L2859
2055,L2860
1665,L2862
19766,L2863
683,L2866
1178,L2868
1652,L2869
3047,L2871
2339,L2872
1789,L2873
5032,L2874
1415,L2877
922,L2878
2412,L2882
2233,L2883
6523,L2885
785,L2887
6952,L2889
608,L2890
4420,L2891
1894,L2893
40478,L2894
1305,L2895
