LagosName,surfaceArea
LAGOS399,0.01858007
LAGOS400,0.019415461
LAGOS401,0.377865219
LAGOS402,0.039303491
LAGOS403,2.373484824
LAGOS404,0.050297923
LAGOS405,0.370714424
LAGOS406,1.456630326
LAGOS407,3.094075844
LAGOS408,0.143513937
LAGOS409,0.956982668
LAGOS410,0.069215067
LAGOS411,1.188146973
LAGOS412,1.581217909
LAGOS413,1.199508708
LAGOS414,1.946998746
LAGOS415,0.0361771
LAGOS417,0.613977481
LAGOS418,0.082585043
LAGOS419,2.965412292
LAGOS420,0.124393266
LAGOS421,0.178092596
LAGOS422,1.397871222
LAGOS423,0.13479836
LAGOS424,0.068934859
LAGOS425,2.657766123
LAGOS426,0.14812672
LAGOS427,0.130128185
LAGOS428,0.087645607
LAGOS429,2.0898978
LAGOS430,1.246828298
LAGOS431,0.721990931
LAGOS432,0.246011651
LAGOS433,4.845525764
LAGOS434,0.043521901
LAGOS435,1.184605739
LAGOS436,0.157384825
LAGOS437,1.165184026
LAGOS438,0.779526085
LAGOS439,4.892778083
LAGOS440,1.41835948
LAGOS441,0.699145825
LAGOS442,1.093794774
LAGOS443,0.369596158
LAGOS444,2.185750594
LAGOS445,0.019592503
LAGOS446,0.248763545
LAGOS447,2.388867009
LAGOS448,0.414650521
LAGOS449,1.874205803
LAGOS450,0.063678926
LAGOS451,2.81502092
LAGOS452,1.618169329
LAGOS453,0.217791863
LAGOS454,5.276547679
LAGOS455,1.187714745
LAGOS456,0.234792712
LAGOS457,0.958391591
LAGOS458,0.065552754
LAGOS459,0.716437117
LAGOS460,1.144621385
LAGOS461,2.056464014
LAGOS462,0.655542904
LAGOS463,0.147322431
LAGOS464,0.48317536
LAGOS465,1.694983231
LAGOS466,0.13360798
LAGOS467,0.515778447
LAGOS468,1.24066019
LAGOS469,0.523546586
LAGOS470,0.381755944
LAGOS471,0.481041685
LAGOS472,0.194927683
LAGOS473,1.955797794
LAGOS474,3.93060859
LAGOS475,1.225589551
LAGOS476,0.561943601
LAGOS477,0.293721961
LAGOS478,2.648262163
LAGOS480,1.021492555
LAGOS481,1.471835202
LAGOS482,56.75577242
LAGOS483,0.212656922
LAGOS484,0.738924366
LAGOS485,0.398602966
LAGOS486,0.478270074
LAGOS487,1.277752725
LAGOS489,0.744079025
LAGOS490,1.496853797
LAGOS491,1.54900956
LAGOS492,0.154712882
LAGOS493,7.945983687
LAGOS494,8.646808439
LAGOS495,0.157101107
LAGOS496,1.56616708
LAGOS497,0.237242251
LAGOS498,0.078553972
LAGOS499,0.376264384
LAGOS500,0.224384816
LAGOS501,0.427610249
LAGOS502,0.102967952
LAGOS503,3.734537972
LAGOS504,1.131376764
LAGOS505,0.155562646
LAGOS506,0.062944038
LAGOS507,1.049305982
LAGOS508,0.084033256
LAGOS509,0.108423697
LAGOS510,0.091289962
LAGOS511,0.531201923
LAGOS512,0.127725167
LAGOS513,0.118360048
LAGOS514,0.846674367
LAGOS515,1.036995129
LAGOS516,3.197829697
LAGOS517,0.099654695
LAGOS518,8.376254831
LAGOS519,2.763483354
LAGOS520,0.278526657
LAGOS521,0.049798228
LAGOS522,0.070844846
LAGOS523,0.57276735
LAGOS524,0.993274705
LAGOS525,1.051191165
LAGOS526,0.059819021
LAGOS527,1.901387372
LAGOS528,1.060223796
LAGOS529,0.042310025
LAGOS530,3.349780811
LAGOS531,6.762589453
LAGOS532,0.319476107
LAGOS533,2.376788841
LAGOS534,0.319711249
LAGOS535,0.281271009
LAGOS536,9.780022354
LAGOS537,2.067181722
LAGOS538,0.232878647
LAGOS539,0.324672341
LAGOS540,0.319531991
LAGOS541,0.42588972
LAGOS542,22.31843113
LAGOS543,6.130539251
LAGOS544,7.180591207
LAGOS545,0.82404701
LAGOS546,2.12350445
LAGOS547,0.364811431
LAGOS548,0.157241093
LAGOS549,1.898006064
LAGOS550,0.100940883
LAGOS551,1.630065306
LAGOS552,9.141622804
LAGOS553,0.061353678
LAGOS554,3.178108295
LAGOS555,0.06263507
LAGOS556,0.05491755
LAGOS557,0.957392329
LAGOS558,0.288710943
LAGOS559,2.232981086
LAGOS560,0.153864992
LAGOS562,2.906927205
LAGOS563,0.013635758
LAGOS564,0.865563641
LAGOS565,0.76747495
LAGOS566,0.195714836
LAGOS567,1.58149828
LAGOS568,1.184397015
LAGOS569,0.099326698
LAGOS570,0.2092029
LAGOS571,1.321284508
LAGOS572,0.205835522
LAGOS573,3.005499336
LAGOS574,10.75534913
LAGOS575,16.75409073
LAGOS576,0.140341004
LAGOS577,3.499722903
LAGOS578,0.506612961
LAGOS579,0.049261139
LAGOS580,0.148090925
LAGOS581,0.514216799
LAGOS582,0.046598721
LAGOS583,225.6612405
LAGOS584,30.2031575
LAGOS585,0.158583543
LAGOS586,0.140581316
LAGOS587,1.040586497
LAGOS588,2.170086033
LAGOS589,0.171952435
LAGOS590,2.420477237
LAGOS591,0.570948118
LAGOS592,0.094479531
LAGOS593,0.031244876
LAGOS594,0.615355707
LAGOS595,0.818359184
LAGOS596,1.86180621
LAGOS597,2.480023495
LAGOS598,40.07537143
LAGOS599,0.520474648
LAGOS600,0.116742124
LAGOS601,0.051036858
LAGOS602,34.86426754
LAGOS603,0.306331921
LAGOS604,0.145514608
LAGOS605,0.187134959
LAGOS606,0.050793282
LAGOS607,0.171279818
LAGOS608,0.854558601
LAGOS609,1.044981166
LAGOS610,0.283289619
LAGOS611,0.675943026
LAGOS612,3.260891809
LAGOS613,1.437914676
LAGOS614,0.954853703
LAGOS615,0.832315121
LAGOS616,0.896005402
LAGOS617,1.5346807
LAGOS618,5.047173072
LAGOS619,0.266899946
LAGOS620,4.533009204
LAGOS621,1.707991748
LAGOS622,0.608144324
LAGOS623,0.234702021
LAGOS624,0.320983197
LAGOS625,0.313879061
LAGOS626,0.057150553
LAGOS627,1.046038669
LAGOS628,0.896075593
LAGOS629,0.204063544
LAGOS630,0.233621324
LAGOS631,0.509443646
LAGOS632,2.06162223
LAGOS633,0.038127269
LAGOS634,1.043413131
LAGOS635,3.114143027
LAGOS636,0.279026446
LAGOS637,16.32842624
LAGOS638,0.044414707
LAGOS639,0.570019883
LAGOS640,0.956671437
LAGOS641,0.26419709
LAGOS642,0.185207967
LAGOS643,8.647867981
LAGOS644,0.153339598
LAGOS645,2.291511237
LAGOS646,0.095529453
LAGOS647,6.6363993
LAGOS648,0.343174414
LAGOS649,0.338449567
LAGOS650,0.091720505
LAGOS651,0.22201599
LAGOS652,0.04986869
LAGOS653,0.165075026
LAGOS654,0.114579491
LAGOS655,0.193821075
LAGOS656,0.180447433
LAGOS657,0.720063127
LAGOS658,2.207757128
LAGOS659,0.310124477
LAGOS660,1.518121725
LAGOS661,3.909454248
LAGOS662,0.036573703
LAGOS663,0.121945601
LAGOS664,0.017632817
LAGOS665,3.071686537
LAGOS666,43.49351348
LAGOS667,0.130343458
LAGOS668,3.175343959
LAGOS669,0.609618699
LAGOS670,1.345399895
LAGOS671,1.143752746
LAGOS672,0.210871128
LAGOS673,0.363098317
LAGOS674,0.365697124
LAGOS675,0.787116945
LAGOS676,0.189122876
LAGOS677,0.10888302
LAGOS678,0.484674694
LAGOS679,0.341594299
LAGOS680,1.700064665
LAGOS681,1.006189505
LAGOS682,0.054755419
LAGOS683,0.908157639
LAGOS684,0.013050552
LAGOS685,1.467931027
LAGOS686,0.061051527
LAGOS687,3.039423901
LAGOS688,1.10527251
LAGOS690,0.358826292
LAGOS691,0.099753595
LAGOS692,1.622419062
LAGOS693,0.179029041
LAGOS694,0.665648318
LAGOS695,9.020480137
LAGOS696,1.360533754
LAGOS697,1.509406272
LAGOS698,0.194044712
LAGOS699,4.859627833
LAGOS700,0.071402599
LAGOS701,0.272076334
LAGOS702,0.10943542
LAGOS703,2.400596559
LAGOS704,0.38641684
LAGOS705,0.967808077
LAGOS706,0.437933946
LAGOS707,0.500688852
LAGOS708,2.395141404
LAGOS709,3.793982403
LAGOS710,0.159378187
LAGOS711,0.069076797
LAGOS712,0.099321659
LAGOS713,0.150087443
LAGOS714,0.480815849
LAGOS715,0.205908213
LAGOS716,0.993945945
LAGOS717,0.948585298
LAGOS718,0.103005181
LAGOS719,0.037157531
LAGOS720,1.033394861
LAGOS721,0.046506508
LAGOS722,0.155768931
LAGOS723,0.047807936
LAGOS724,0.119926729
LAGOS725,0.638013515
LAGOS726,0.354742848
LAGOS727,0.019079752
LAGOS728,0.147333907
LAGOS729,5.217799997
LAGOS730,0.571742353
LAGOS731,0.624482828
LAGOS732,0.184917139
LAGOS734,0.278068659
LAGOS735,0.239814086
LAGOS736,0.634030529
LAGOS737,0.1058992
LAGOS738,2.365255295
LAGOS739,0.132343695
LAGOS740,1.286997603
LAGOS741,2.95091942
LAGOS742,0.027964697
LAGOS743,0.117589778
LAGOS744,0.064896311
LAGOS745,0.775437602
LAGOS746,0.113208466
LAGOS747,4.459826841
LAGOS748,0.171021306
LAGOS749,3.291581004
LAGOS750,1.029428555
LAGOS751,0.184747297
LAGOS752,0.945680635
LAGOS753,0.260664552
LAGOS754,0.121629203
LAGOS755,1.029701475
LAGOS756,1.697871864
LAGOS757,3.786420961
LAGOS758,7.752952933
LAGOS759,0.111603548
LAGOS760,0.133437191
LAGOS761,2.673982596
LAGOS762,0.407923015
LAGOS763,1.026195749
LAGOS764,0.613379996
LAGOS765,0.042538646
LAGOS766,2.090701834
LAGOS767,0.813092263
LAGOS768,0.99131672
LAGOS769,0.902893593
LAGOS770,0.993734471
LAGOS771,0.181458633
LAGOS772,0.438434565
LAGOS773,0.729081813
LAGOS774,0.111430262
LAGOS775,0.492424173
LAGOS776,0.32707229
LAGOS777,40.85296544
LAGOS778,46.40116985
LAGOS779,0.023187428
LAGOS780,0.123135489
LAGOS781,0.705309118
LAGOS782,0.057878736
LAGOS783,2.831236725
LAGOS784,0.731804009
LAGOS785,0.883444268
LAGOS786,0.089041685
LAGOS787,0.81165948
LAGOS788,64.45869305
LAGOS789,0.34067202
LAGOS790,0.351138954
LAGOS791,3.216725658
LAGOS792,0.761230707
LAGOS793,0.109184521
LAGOS794,0.101369084
LAGOS795,0.419647729
LAGOS796,1.868220469
LAGOS797,0.030364521
LAGOS798,0.406117142
LAGOS799,0.989904269
LAGOS800,2.374593144
LAGOS801,0.128945734
LAGOS802,1.100781093
LAGOS803,52.41824379
LAGOS804,0.845423397
LAGOS805,0.3836774
LAGOS806,0.103283456
LAGOS807,0.479682084
LAGOS808,0.33620133
LAGOS809,0.071588196
LAGOS810,0.343982991
LAGOS811,0.389943967
LAGOS812,0.869883996
LAGOS813,1.641012275
LAGOS814,3.301427601
LAGOS815,0.051930539
LAGOS816,0.386401545
LAGOS817,1.886588204
LAGOS818,0.40218025
LAGOS819,0.177786118
LAGOS820,3.943185773
LAGOS821,1.353780959
LAGOS822,0.545564756
LAGOS823,0.192112811
LAGOS824,0.227139241
LAGOS825,0.11210579
LAGOS826,0.25449814
LAGOS827,1.36189348
LAGOS828,0.154698328
LAGOS829,0.079392885
LAGOS830,1.341464391
LAGOS831,2.329371168
LAGOS832,0.613756413
LAGOS833,1.248317361
LAGOS834,2.026459155
LAGOS835,2.054969592
LAGOS836,2.330292848
LAGOS837,0.023458395
LAGOS838,0.168399267
LAGOS839,0.144829512
LAGOS840,0.363249604
LAGOS841,0.377158241
LAGOS842,1.599389837
LAGOS843,0.65635575
LAGOS844,6.798969765
LAGOS845,3.724940229
LAGOS846,0.047524648
LAGOS847,0.695800688
LAGOS848,0.742138154
LAGOS849,0.19085765
LAGOS850,0.732852898
LAGOS851,0.782979678
LAGOS852,1.036809069
LAGOS853,0.889214021
LAGOS854,1.289346508
LAGOS855,1.672449834
LAGOS856,0.80533207
LAGOS857,1.142144361
LAGOS858,0.897345196
LAGOS859,0.377092937
LAGOS860,0.5682552
LAGOS861,0.041377177
LAGOS862,0.052582952
LAGOS863,0.051854733
LAGOS864,2.144473821
LAGOS865,0.319755479
LAGOS866,0.570376042
LAGOS867,5.05200926
LAGOS868,0.632845546
LAGOS869,0.066819182
LAGOS870,0.395109292
LAGOS871,0.330527464
LAGOS872,0.241199572
LAGOS873,0.164155974
LAGOS874,0.119060699
LAGOS875,0.065735394
LAGOS876,25.66291503
LAGOS877,1.176689275
LAGOS878,7.397800981
LAGOS879,0.081066118
LAGOS880,12.4087045
LAGOS881,0.486678947
LAGOS882,1.457687802
LAGOS883,0.071793513
LAGOS884,0.983574687
LAGOS885,0.585088074
LAGOS886,0.372168196
LAGOS887,0.185583479
LAGOS888,0.503142195
LAGOS889,0.120563841
LAGOS890,0.094914754
LAGOS891,0.445122681
LAGOS892,0.552309185
LAGOS893,0.189320637
LAGOS894,0.110291158
LAGOS895,0.486244626
LAGOS896,0.270343928
LAGOS897,0.019273877
LAGOS898,0.024107663
LAGOS899,1.359333342
LAGOS900,0.434638512
LAGOS901,0.070919166
LAGOS902,5.418284447
LAGOS903,0.651287083
LAGOS904,0.093327677
LAGOS905,0.065089934
LAGOS906,0.636524628
LAGOS907,0.08996844
LAGOS908,0.033672434
LAGOS909,1.255444699
LAGOS910,0.035079936
LAGOS911,0.112697978
LAGOS912,2.790527188
LAGOS913,1.111456405
LAGOS914,1.018461993
LAGOS915,48.11400902
LAGOS916,1.185786399
LAGOS917,0.114607828
LAGOS918,0.57152966
LAGOS919,0.178320369
LAGOS920,0.112700521
LAGOS921,17.23410473
LAGOS922,0.282050731
LAGOS923,0.443496631
LAGOS924,0.307712697
LAGOS925,0.456737107
LAGOS926,0.07799434
LAGOS927,0.20771229
LAGOS928,0.148022293
LAGOS929,8.188302533
LAGOS930,0.351326375
LAGOS931,2.607240238
LAGOS932,0.04428885
LAGOS933,3.114951479
LAGOS934,1.203881632
LAGOS935,0.103787216
LAGOS936,0.161818774
LAGOS937,0.530217396
LAGOS938,1.241308519
LAGOS939,2.544891059
LAGOS940,0.225069519
LAGOS941,0.083374622
LAGOS942,0.082007626
LAGOS943,0.148149277
LAGOS944,0.482829107
LAGOS945,0.278150171
LAGOS946,4.948536584
LAGOS947,0.109054463
LAGOS948,0.4052132
LAGOS949,0.67794009
LAGOS950,0.748640408
LAGOS951,0.014324558
LAGOS952,0.135841908
LAGOS953,0.586515353
LAGOS954,3.36146479
LAGOS955,1.855033859
LAGOS956,0.826818179
LAGOS957,0.3459131
LAGOS958,0.282004118
LAGOS959,0.425919359
LAGOS960,2.623889566
LAGOS961,0.471196331
LAGOS962,0.163422774
LAGOS963,0.648894104
LAGOS964,0.114887608
LAGOS965,0.028904646
LAGOS966,1.120846581
LAGOS967,1.444206268
LAGOS968,9.278163245
LAGOS969,2.102418967
LAGOS970,0.276159184
LAGOS971,1.013464143
LAGOS972,10.15632712
LAGOS973,1.134108521
LAGOS974,5.72145054
LAGOS975,0.816989226
LAGOS976,2.979104624
LAGOS977,0.365707907
LAGOS978,0.335518517
LAGOS979,0.215327437
LAGOS980,0.173695036
LAGOS981,0.27637558
LAGOS982,0.080578694
LAGOS983,1.326992574
LAGOS984,11.15759661
LAGOS985,0.043372676
LAGOS986,1.793694982
LAGOS987,0.504728304
LAGOS988,0.976649111
LAGOS989,0.306115972
LAGOS990,0.575179735
LAGOS991,0.502143432
LAGOS992,1.538393925
LAGOS993,0.019237307
LAGOS994,0.07301636
LAGOS995,0.131814427
LAGOS996,418.2435205
LAGOS998,0.445570857
LAGOS999,0.376769829
LAGOS1000,0.135714307
LAGOS1001,1.110506559
LAGOS1002,0.040196683
LAGOS1003,2.362855785
LAGOS1004,1.944138842
LAGOS1005,0.146432178
LAGOS1006,0.276449354
LAGOS1007,0.097031324
LAGOS1008,0.097045104
LAGOS1009,0.311107632
LAGOS1010,0.363229579
LAGOS1011,5.542599697
LAGOS1013,1.678739038
LAGOS1014,0.89992201
LAGOS1015,2.032224395
LAGOS1016,0.18547233
LAGOS1017,1.397559145
LAGOS1018,0.680448409
LAGOS1019,0.15724794
LAGOS1020,2.127882399
LAGOS1021,0.109625446
LAGOS1022,0.247390557
LAGOS1023,0.755026718
LAGOS1024,0.03147537
LAGOS1025,2.415925351
LAGOS1026,0.449759293
LAGOS1027,0.400269649
LAGOS1028,0.789220079
LAGOS1029,1.53472438
LAGOS1030,0.494422059
LAGOS1031,0.243756615
LAGOS1032,0.146926939
LAGOS1033,0.046906288
LAGOS1034,0.266952273
LAGOS1035,0.614793331
LAGOS1036,0.126962266
LAGOS1037,0.196001336
LAGOS1038,3.197651351
LAGOS1039,0.530745672
LAGOS1040,6.812706807
LAGOS1041,1.783118831
LAGOS1042,0.33111477
LAGOS1043,0.549143811
LAGOS1044,0.507062022
LAGOS1045,1.180881116
LAGOS1046,0.038129495
LAGOS1047,0.176490737
LAGOS1048,0.686333955
LAGOS1049,0.079555621
LAGOS1050,2.149901002
LAGOS1051,1.497847863
LAGOS1052,0.056041092
LAGOS1053,1.61500373
LAGOS1054,75.78989674
LAGOS1055,0.495982427
LAGOS1056,0.364182977
LAGOS1057,0.159646924
LAGOS1058,70.43361325
LAGOS1059,0.057139739
LAGOS1060,1.69269578
LAGOS1061,3.679147972
LAGOS1062,1.068518848
LAGOS1063,0.165102431
LAGOS1064,4.551852972
LAGOS1065,0.573120746
LAGOS1066,0.066791721
LAGOS1067,2.814546454
LAGOS1068,0.09102339
LAGOS1069,0.150440778
LAGOS1070,10.65994092
LAGOS1071,3.920680064
LAGOS1072,3.06643767
LAGOS1073,0.259843789
LAGOS1074,0.046549639
LAGOS1075,0.370079073
LAGOS1076,5.374680748
LAGOS1077,0.150954719
LAGOS1078,0.515169345
LAGOS1079,0.033039232
LAGOS1080,0.125435155
LAGOS1081,0.065410902
LAGOS1082,1.690991034
