"","Lat","Lon","StudyID","UniqueLakeName","optional"
"335",-22.77,-53.26,"401","L0079",TRUE
"336",32.83,119.33,"411","L0510",TRUE
"337",41.49,-73.45,"417","L2238",TRUE
"338",41.2,43.2,"418","L2003",TRUE
"339",18.09,-66.58,"425","L0245",TRUE
"340",31.26,120.21,"446","L0402",TRUE
"341",45.72,10.07,"457","L5511",TRUE
"342",30.49,114.38,"470","L0382",TRUE
"343",-38.02,176.53,"475","L0034",TRUE
"344",32.72,35.57,"475","L0502",TRUE
"345",41.37,-75.28,"475","L2165",TRUE
"346",41.98,-74.17,"475","L2611",TRUE
"347",43.11,-89.42,"475","L3222",TRUE
"348",46,-89.61,"475","L5887",TRUE
"349",46.28,-75.13,"475","L6237",TRUE
"350",47.36,8.67,"475","L7191",TRUE
"351",53.92,-9.57,"475","L8019",TRUE
"352",56.37,8.43,"475","L8126",TRUE
"353",59.83,18.57,"475","L8199",TRUE
"354",42.68,-76.69,"478","L3043",TRUE
"355",42.49,21.9,"481","L2931",TRUE
"356",30.67,90.64,"491","L0393",TRUE
"357",40.36,-100.67,"496","L1643",TRUE
"358",19.62,-101.26,"501","L0257",TRUE
"359",58.62,27.37,"501","L8140",TRUE
"360",57.98,26.78,"501","L8142",TRUE
"361",58.3,26.04,"501","L8146",TRUE
"362",58.23,26.41,"501","L8147",TRUE
"363",58.23,26.41,"501","L8147",TRUE
"364",58.25,22.35,"501","L8149",TRUE
"365",58.26,26.43,"501","L8150",TRUE
"366",58.3,26.42,"501","L8151",TRUE
"367",58.54,26.66,"501","L8159",TRUE
"368",59.06,26.24,"501","L8171",TRUE
"369",59.39,24.77,"501","L8180",TRUE
"370",59.84,18.59,"501","L8199",TRUE
"371",61.16,24.24,"501","L8226",TRUE
"372",47.07,10.22,"507","L7039",TRUE
"373",47.07,10.23,"507","L7039",TRUE
"374",66.85,-51.79,"514","L8372",TRUE
"375",66.85,-51.76,"514","L8373",TRUE
"376",66.86,-51.9,"514","L8374",TRUE
"377",66.91,-50.44,"514","L8376",TRUE
"378",66.92,-50.43,"514","L8377",TRUE
"379",66.93,-50.42,"514","L8380",TRUE
"380",66.93,-50.4,"514","L8381",TRUE
"381",66.95,-51.58,"514","L8382",TRUE
"382",66.98,-51.06,"514","L8384",TRUE
"383",66.99,-51.14,"514","L8385",TRUE
"384",66.99,-50.96,"514","L8386",TRUE
"385",67.01,-51.08,"514","L8387",TRUE
"386",67.01,-50.98,"514","L8388",TRUE
"387",67.02,-51.12,"514","L8389",TRUE
"388",67.12,-50.25,"514","L8390",TRUE
"389",67.13,-50.24,"514","L8392",TRUE
"390",67.13,-50.17,"514","L8393",TRUE
"391",67.16,-50.34,"514","L8394",TRUE
"392",67.16,-50.29,"514","L8395",TRUE
"393",67.16,-50.28,"514","L8396",TRUE
"394",67.17,-50.35,"514","L8397",TRUE
"395",46.75,-92.11,"519","L6728",TRUE
"396",52.16,21.1,"521","L7908",TRUE
"397",53.66,21.7,"524","L7992",TRUE
"398",53.77,21.6,"524","L7997",TRUE
"399",53.78,21.45,"524","L7998",TRUE
"400",53.82,21.41,"524","L8012",TRUE
"401",53.86,21.33,"524","L8015",TRUE
"402",53.89,21.87,"524","L8016",TRUE
"403",53.92,22.26,"524","L8020",TRUE
"404",53.95,21.24,"524","L8021",TRUE
"405",54.04,22.51,"524","L8022",TRUE
"406",54.06,21.92,"524","L8025",TRUE
"407",40.49,116.85,"527","L1680",TRUE
"408",-33.3,151.5,"530","L0054",TRUE
"409",-33.09,151.57,"530","L0055",TRUE
"410",33.29,118.72,"535","L0536",TRUE
"411",23.13,113.34,"558","L0265",TRUE
"412",31.42,120.36,"558","L0429",TRUE
"413",32.63,120.1,"558","L0496",TRUE
"414",47.07,15.37,"560","L7037",TRUE
"415",47.58,13.66,"560","L7358",TRUE
"416",47.62,13.83,"560","L7433",TRUE
"417",47.64,13.79,"560","L7451",TRUE
"418",47.65,15.04,"560","L7470",TRUE
"419",47.68,12.56,"560","L7504",TRUE
