uniqueID,LakeVolume,SurfaceArea.units,SurfaceArea.value,Depth.mean,Depth.max,Secchi,pH,LakeName,LakeCountry
V100014866,,km2,20.79,13.2,61.5,,,Lake Spokane,USA
V100014867,,km2,20.79,13.2,61.5,,,Lake Spokane,USA
V100014868,,km2,20.79,13.2,61.5,,,Lake Spokane,USA
V100014869,,km2,20.79,13.2,61.5,,,Lake Spokane,USA
V100014870,,km2,2338,,,,,Lake Taihu,Chi
V100014871,,,,,,,,Lake Michigan,
V100014872,,,,,,,8.43,Taihu Lake,Chi
V100014873,,km2,30.1,1.9,,0.11,9,Lagu Chascomus,Argenti
V100014874,,,,,,,,Lake Simcoe,
V100014875,,,,,,,,Lake Simcoe,
V100014876,,,,,,,,Lake Simcoe,
V100014877,,,,,,,,Lake Simcoe,
V100014878,,km2,32,,,0.39,8.49,Donghu,Chi
V100014879,,km2,300,,,0.65,8.1,Liangzihu,Chi
V100014880,,km2,20,,,0.32,8.21,nhu,Chi
V100014881,,km2,15,,,0.45,8.3,Niuchaohu,Chi
V100014882,101.6,,,,16.6,8.5,6.45,Lake Greckie,Poland
V100014883,,km2,3.67,3.6,,,8.2,The Superior Lake of Mantua,Italy
V100014884,,km2,3.67,3.6,,,8.6,The Superior Lake of Mantua,Italy
V100014885,,km2,3.67,3.6,,,8.2,The Superior Lake of Mantua,Italy
V100014886,,km2,0.039,4.1,,,,,Finland
V100014887,,km2,0.0305,3.1,,,,,Finland
V100014888,,km2,0.0477,5,,,,,Finland
V100014889,,km2,0.0929,0.5,,,,,Finland
V100014890,,km2,0.0321,7.5,,,,,Finland
V100014891,,km2,0.0398,5,,,,,Finland
V100014892,,km2,0.0921,6.3,,,,,Finland
V100014893,,km2,0.0091,1.4,,,,,Finland
V100014894,,km2,0.0242,4,,,,,Finland
V100014895,,km2,0.0391,2,,,,,Finland
V100014896,,km2,0.0543,0.7,,,,,Finland
V100014897,,km2,0.0635,0.7,,,,,Finland
V100014898,,km2,0.0601,2.5,,,,,Finland
V100014899,,km2,0.0802,0.8,,,,,Finland
V100014900,,km2,0.0351,0.7,,,,,Finland
V100014901,,km2,0.007,6.3,,,,,Finland
V100014902,,km2,0.0251,5.7,,,,,Finland
V100014903,,km2,0.0241,4.2,,,,,Finland
V100014904,,km2,0.0246,1.6,,,,,Finland
V100014905,,km2,0.0354,3.5,,,,,Finland
V100014906,,km2,0.0147,1.9,,,,,Finland
V100014907,,km2,0.0319,1.7,,,,,Finland
V100014908,,km2,0.0148,3.1,,,,,Finland
V100014909,,km2,0.0091,1.7,,,,,Finland
V100014910,,km2,0.0297,1.2,,,,,Finland
V100014911,,km2,23.2,1.2,,,,Lake Albufera de Valencia,Spain
V100014912,,km2,23.2,1.2,,,,Lake Albufera de Valencia,Spain
V100014913,,km2,580,154,310,,,Lake Geneva,Switzerland
V100014914,,km2,580,154,310,,,Lake Geneva,Switzerland
V100014915,,km2,580,154,310,,,Lake Geneva,Switzerland
V100014916,,km2,5600,,58,,,Albert,Uganda
V100014917,,km2,250,,7,,,George,Uganda
V100014918,,km2,13,,4,,,Mburo,Uganda
V100014919,,km2,0.03,,38,,,Nkuruba,Uganda
V100014920,,km2,0.15,,8.5,,,Saka,Uganda
V100014921,,km2,18,,7,,,Victoria,Uganda
V100014924,,,,,,,,Lake Superior,
V100014925,,,,,,,,Lake Huron,
V100014926,,,,,,,,Lake Ontario,
V100014927,,,,,,,,Lake Ontario,
V100014928,,,,,,,,Lake Ontario,
V100014929,,,,,,,,Lake Ontario,
V100014930,,,,,,,,Lake Ontario,
V100014931,,,,,,,,Lake Ontario,
V100014932,,,,,,,,Lake Huron,
V100014933,,,,,,,,Lake Ontario,
V100014934,,,,,,,,Lake Ontario,
V100014935,,,,,,,,Lake Superior,
V100014936,,,,,,,,Lake Huron,
V100014937,,,,,,,,Lake Ontario,
V100014938,,,,,,,,Lake Huron,
V100014939,,,,,,,,Lake Ontario,
V100014940,,,,,,,,Lake Huron,
V100014941,,,,,,,,Lake Ontario,
V100014942,,,,,,,,Lake Huron,
V100014943,,,,,,,,Lake Ontario,
V100014944,,,,,,,,Lake Huron,
V100014945,,,,,,,,Lake Ontario,
V100014946,,,,,,,,Lake Huron,
V100014947,,,,,,,,Lake Ontario,
V100014948,,,,,,,,Lake Superior,
V100014949,,,,,,,,Lake Huron,
V100014950,,,,,,,,Lake Ontario,
V100014951,,,,,,,,Lake Superior,
V100014952,,,,,,,,Lake Ontario,
V100014953,,,,,,,,Lake Superior,
V100014954,,,,,,,,Lake Huron,
V100014955,,,,,,,,Lake Ontario,
V100014956,,,,,,,,Lake Huron,
V100014957,,,,,,,,Lake Superior,
V100014958,,,,,,,,Lake Superior,
V100014959,,,,,,,,Lake Ontario,
V100014960,,,,,,,,Lake Huron,
V100014961,,,,,,,,Lake Huron,
V100014962,,,,,,,,Lake Ontario,
V100014963,,,,,,,,Lake Superior,
V100014964,,,,,,,,Lake Huron,
V100014965,,,,,,,,Lake Ontario,
V100014966,,,,,,,,Lake Superior,
V100014967,,,,,,,,Lake Ontario,
V100014968,,,,,,,,Lake Ontario,
V100014969,,,,,,,,Lake Superior,
V100014970,,,,,,,,Lake Huron,
V100014971,,,,,,,,Lake Ontario,
V100014972,,,,,,,,Lake Superior,
V100014973,,,,,,,,Lake Huron,
V100014974,,,,,,,,Lake Ontario,
V100014975,,km2,3.96,,,,,Little St. Germain Lake ,USA
V100014976,,km2,3.96,,,,,Little St. Germain Lake ,USA
V100014977,,km2,3.96,,,,,Little St. Germain Lake ,USA
V100014978,,km2,3.96,,,,,Little St. Germain Lake ,USA
V100014979,,km2,3.96,,,,,Little St. Germain Lake ,USA
V100014980,,km2,3.96,,,,,Little St. Germain Lake ,USA
